kappa,bits,mode,grad_bits,seed,lr,steps,delta,rel_gap,best_rel_gap,passed_gate,w_err_inf,err_in_grid_steps,frozen_frac_tail,freeze_law_violations,shadow_sat_frac_max,threads,seconds
100.0,16,rtn,,0,0.019801980198019802,3000,0.00024414807580797754,1.82667691843729e-07,1.809680007486672e-07,True,0.002021312713623047,8.279044210910797,0.282,0,0.0,4,7.12
100.0,16,rtn,,1,0.019801980198019802,3000,0.00024414807580797754,1.82667691843729e-07,1.809680007486672e-07,True,0.002021312713623047,8.279044210910797,0.282,0,0.0,4,7.97
100.0,16,rtn,,2,0.019801980198019802,3000,0.00024414807580797754,1.82667691843729e-07,1.809680007486672e-07,True,0.002021312713623047,8.279044210910797,0.282,0,0.0,4,7.91
100.0,16,sr,,0,0.019801980198019802,3000,0.00024414807580797754,2.2008362397149305e-08,1.8753735257731415e-08,True,0.0008624792098999023,3.5326070338487625,0.68407,,0.0,4,8.08
100.0,16,sr,,1,0.019801980198019802,3000,0.00024414807580797754,2.5693496798250156e-08,1.943258753866718e-08,True,0.0007689595222473145,3.149562083184719,0.68117,,0.0,4,7.44
100.0,16,sr,,2,0.019801980198019802,3000,0.00024414807580797754,2.5867793017809345e-08,1.8811538843996038e-08,True,0.0008088350296020508,3.3128871768712997,0.667065,,0.0,4,8.06
100.0,16,ef,,0,0.019801980198019802,3000,0.00024414807580797754,3.3467986806985714e-08,2.8098858080145715e-08,True,0.0003209114074707031,1.3144130110740662,0.445925,,0.0,4,7.19
100.0,16,ef,,1,0.019801980198019802,3000,0.00024414807580797754,3.3467986806985714e-08,2.8098858080145715e-08,True,0.0003209114074707031,1.3144130110740662,0.445925,,0.0,4,6.11
100.0,16,ef,,2,0.019801980198019802,3000,0.00024414807580797754,3.3467986806985714e-08,2.8098858080145715e-08,True,0.0003209114074707031,1.3144130110740662,0.445925,,0.0,4,5.98
100.0,12,rtn,,0,0.019801980198019802,3000,0.0039081582804103565,4.384764083633034e-05,4.384764083633034e-05,True,0.03802049160003662,9.72849328815937,0.319,0,0.0,4,4.77
100.0,12,rtn,,1,0.019801980198019802,3000,0.0039081582804103565,4.384764083633034e-05,4.384764083633034e-05,True,0.03802049160003662,9.72849328815937,0.319,0,0.0,4,4.75
100.0,12,rtn,,2,0.019801980198019802,3000,0.0039081582804103565,4.384764083633034e-05,4.384764083633034e-05,True,0.03802049160003662,9.72849328815937,0.319,0,0.0,4,5.39
100.0,12,sr,,0,0.019801980198019802,3000,0.0039081582804103565,6.629582917963955e-06,4.878007303693043e-06,True,0.01256251335144043,3.21443310379982,0.6810200000000001,,0.0,4,5.05
100.0,12,sr,,1,0.019801980198019802,3000,0.0039081582804103565,6.477323602304063e-06,5.098970995637317e-06,True,0.013219118118286133,3.3824418485164642,0.67269,,0.0,4,5.62
100.0,12,sr,,2,0.019801980198019802,3000,0.0039081582804103565,5.241319960166596e-06,4.949138541624608e-06,True,0.010913848876953125,2.792581081390381,0.654315,,0.0,4,5.27
100.0,12,ef,,0,0.019801980198019802,3000,0.0039081582804103565,1.0193019048423214e-05,6.430942237686702e-06,True,0.0067310631275177,1.7223107777535915,0.47603500000000004,,0.0,4,5.99
100.0,12,ef,,1,0.019801980198019802,3000,0.0039081582804103565,1.0193019048423214e-05,6.430942237686702e-06,True,0.0067310631275177,1.7223107777535915,0.47603500000000004,,0.0,4,6.04
100.0,12,ef,,2,0.019801980198019802,3000,0.0039081582804103565,1.0193019048423214e-05,6.430942237686702e-06,True,0.0067310631275177,1.7223107777535915,0.47603500000000004,,0.0,4,6.41
100.0,10,rtn,,0,0.019801980198019802,3000,0.015655577299412915,0.0006319427446641751,0.0006319427446641751,True,0.16792911291122437,10.726472087204456,0.32899999999999996,0,0.0,4,5.05
100.0,10,rtn,,1,0.019801980198019802,3000,0.015655577299412915,0.0006319427446641751,0.0006319427446641751,True,0.16792911291122437,10.726472087204456,0.32899999999999996,0,0.0,4,4.69
100.0,10,rtn,,2,0.019801980198019802,3000,0.015655577299412915,0.0006319427446641751,0.0006319427446641751,True,0.16792911291122437,10.726472087204456,0.32899999999999996,0,0.0,4,5.03
100.0,10,sr,,0,0.019801980198019802,3000,0.015655577299412915,0.00012184610281167505,7.315691478705394e-05,True,0.04551982879638672,2.9075790643692017,0.67647,,0.0,4,5.55
100.0,10,sr,,1,0.019801980198019802,3000,0.015655577299412915,0.00011958017002333778,7.78723373271935e-05,True,0.053211331367492676,3.3988737910985947,0.6773600000000001,,0.0,4,4.49
100.0,10,sr,,2,0.019801980198019802,3000,0.015655577299412915,9.487791008567425e-05,7.448530188379523e-05,True,0.050781428813934326,3.243663765490055,0.656965,,0.0,4,5.62
100.0,10,ef,,0,0.019801980198019802,3000,0.015655577299412915,0.00015279525962473187,9.548625531069847e-05,True,0.025265373289585114,1.6138257188722491,0.42789,,0.0,4,5.47
100.0,10,ef,,1,0.019801980198019802,3000,0.015655577299412915,0.00015279525962473187,9.548625531069847e-05,True,0.025265373289585114,1.6138257188722491,0.42789,,0.0,4,5.39
100.0,10,ef,,2,0.019801980198019802,3000,0.015655577299412915,0.00015279525962473187,9.548625531069847e-05,True,0.025265373289585114,1.6138257188722491,0.42789,,0.0,4,5.6
100.0,8,rtn,,0,0.019801980198019802,3000,0.06299212598425197,0.004020044433997135,0.004020044433997135,False,0.4307708740234375,6.83848762512207,0.565,0,0.0,4,4.5
100.0,8,rtn,,1,0.019801980198019802,3000,0.06299212598425197,0.004020044433997135,0.004020044433997135,False,0.4307708740234375,6.83848762512207,0.565,0,0.0,4,4.53
100.0,8,rtn,,2,0.019801980198019802,3000,0.06299212598425197,0.004020044433997135,0.004020044433997135,False,0.4307708740234375,6.83848762512207,0.565,0,0.0,4,5.21
100.0,8,sr,,0,0.019801980198019802,3000,0.06299212598425197,0.0016554668363291285,0.0012731905141235406,False,0.2376159131526947,3.7721526212990284,0.691905,,0.0,4,4.97
100.0,8,sr,,1,0.019801980198019802,3000,0.06299212598425197,0.001462957971401324,0.0012540465554464596,False,0.21545790135860443,3.4203941840678453,0.68081,,0.0,4,4.86
100.0,8,sr,,2,0.019801980198019802,3000,0.06299212598425197,0.0016926076804445651,0.0011547276389261341,False,0.2231994867324829,3.543291851878166,0.691865,,0.0,4,4.97
100.0,8,ef,,0,0.019801980198019802,3000,0.06299212598425197,0.0016490379259159716,0.0016118383706368719,False,0.08938171714544296,1.418934759683907,0.46279000000000003,,0.0,4,5.65
100.0,8,ef,,1,0.019801980198019802,3000,0.06299212598425197,0.0016490379259159716,0.0016118383706368719,False,0.08938171714544296,1.418934759683907,0.46279000000000003,,0.0,4,5.46
100.0,8,ef,,2,0.019801980198019802,3000,0.06299212598425197,0.0016490379259159716,0.0016118383706368719,False,0.08938171714544296,1.418934759683907,0.46279000000000003,,0.0,4,6.04
100.0,6,rtn,,0,0.019801980198019802,3000,0.25806451612903225,0.0172382751444994,0.0172382751444994,False,1.2224531173706055,4.737005829811096,1.0,0,0.0,4,4.44
