distribution,spec,kind,bits,granularity,scale_mode,nrmse
outlier_channels,int8|tensor|dyadic/m4|nearest|absmax|ste=identity,int,8,tensor,dyadic/m4,0.116373
outlier_channels,int8|row|float|nearest|absmax|ste=identity,int,8,row,float,0.044981
outlier_channels,int8|row|pow2/ceil|nearest|absmax|ste=identity,int,8,row,pow2/ceil,0.068194
outlier_channels,int8|row|pow2/round|nearest|absmax|ste=identity,int,8,row,pow2/round,0.091233
outlier_channels,int8|row|dyadic/m2|nearest|absmax|ste=identity,int,8,row,dyadic/m2,0.05274
outlier_channels,int8|row|dyadic/m4|nearest|absmax|ste=identity,int,8,row,dyadic/m4,0.045469
outlier_channels,int8|block64|float|nearest|absmax|ste=identity,int,8,block64,float,0.016511
outlier_channels,int8|block64|pow2/ceil|nearest|absmax|ste=identity,int,8,block64,pow2/ceil,0.024833
outlier_channels,int8|block64|pow2/round|nearest|absmax|ste=identity,int,8,block64,pow2/round,0.113433
outlier_channels,int8|block64|dyadic/m2|nearest|absmax|ste=identity,int,8,block64,dyadic/m2,0.040862
outlier_channels,int8|block64|dyadic/m4|nearest|absmax|ste=identity,int,8,block64,dyadic/m4,0.018832
outlier_channels,int7|tensor|float|nearest|absmax|ste=identity,int,7,tensor,float,0.226964
outlier_channels,int7|tensor|pow2/ceil|nearest|absmax|ste=identity,int,7,tensor,pow2/ceil,0.333703
outlier_channels,int7|tensor|pow2/round|nearest|absmax|ste=identity,int,7,tensor,pow2/round,0.206245
outlier_channels,int7|tensor|dyadic/m2|nearest|absmax|ste=identity,int,7,tensor,dyadic/m2,0.206245
outlier_channels,int7|tensor|dyadic/m4|nearest|absmax|ste=identity,int,7,tensor,dyadic/m4,0.229901
outlier_channels,int7|row|float|nearest|absmax|ste=identity,int,7,row,float,0.090557
outlier_channels,int7|row|pow2/ceil|nearest|absmax|ste=identity,int,7,row,pow2/ceil,0.135736
outlier_channels,int7|row|pow2/round|nearest|absmax|ste=identity,int,7,row,pow2/round,0.122713
outlier_channels,int7|row|dyadic/m2|nearest|absmax|ste=identity,int,7,row,dyadic/m2,0.094032
outlier_channels,int7|row|dyadic/m4|nearest|absmax|ste=identity,int,7,row,dyadic/m4,0.090968
outlier_channels,int7|block64|float|nearest|absmax|ste=identity,int,7,block64,float,0.033324
outlier_channels,int7|block64|pow2/ceil|nearest|absmax|ste=identity,int,7,block64,pow2/ceil,0.049618
outlier_channels,int7|block64|pow2/round|nearest|absmax|ste=identity,int,7,block64,pow2/round,0.117381
outlier_channels,int7|block64|dyadic/m2|nearest|absmax|ste=identity,int,7,block64,dyadic/m2,0.050354
