spectrum,kappa,bits,mode,grad_bits,seed,lr,steps,delta,rel_gap,best_rel_gap,passed_gate,w_err_inf,err_in_grid_steps,frozen_frac_tail,freeze_law_violations,shadow_sat_frac_max,threads,seconds
powerlaw,100.0,8,sr,,0,0.019801980198019802,3000,0.06299212598425197,0.0022480774111864614,0.0014421023290496584,False,0.27418994903564453,4.352765440940857,0.6575650000000001,,0.0,4,5.06
powerlaw,100.0,8,sr,,1,0.019801980198019802,3000,0.06299212598425197,0.0016581555090975646,0.0013641636542383857,False,0.24674272537231445,3.917040765285492,0.68867,,0.0,4,5.37
powerlaw,100.0,8,sr,,2,0.019801980198019802,3000,0.06299212598425197,0.0017940614656825143,0.0014022324757699332,False,0.2544361352920532,4.039173647761345,0.64927,,0.0,4,4.99
powerlaw,100.0,8,ef,,0,0.019801980198019802,3000,0.06299212598425197,0.002131924951544933,0.0016746231693589866,False,0.08627355098724365,1.369592621922493,0.46389,,0.0,4,5.62
powerlaw,100.0,8,ef,,1,0.019801980198019802,3000,0.06299212598425197,0.002131924951544933,0.0016746231693589866,False,0.08627355098724365,1.369592621922493,0.46389,,0.0,4,5.51
powerlaw,100.0,8,ef,,2,0.019801980198019802,3000,0.06299212598425197,0.002131924951544933,0.0016746231693589866,False,0.08627355098724365,1.369592621922493,0.46389,,0.0,4,5.52
powerlaw,100.0,4,rtn,,0,0.019801980198019802,3000,1.1428571428571428,0.16921620382857788,0.16921620382857788,False,2.936089277267456,2.569078117609024,1.0,0,0.0,4,4.74
powerlaw,100.0,4,rtn,,1,0.019801980198019802,3000,1.1428571428571428,0.16921620382857788,0.16921620382857788,False,2.936089277267456,2.569078117609024,1.0,0,0.0,4,4.88
powerlaw,100.0,4,rtn,,2,0.019801980198019802,3000,1.1428571428571428,0.16921620382857788,0.16921620382857788,False,2.936089277267456,2.569078117609024,1.0,0,0.0,4,4.56
powerlaw,100.0,4,sr,,0,0.019801980198019802,3000,1.1428571428571428,0.596790440688051,0.42572676502133905,False,6.132457733154297,5.36590051651001,0.6688500000000001,,0.0,4,4.99
powerlaw,100.0,4,sr,,1,0.019801980198019802,3000,1.1428571428571428,0.47270668735472304,0.4554792421348221,False,4.452116966247559,3.8956023454666138,0.679015,,0.0,4,5.02
powerlaw,100.0,4,sr,,2,0.019801980198019802,3000,1.1428571428571428,0.5013430325872297,0.45364640383026866,False,4.938921928405762,4.3215566873550415,0.67747,,0.0010000000474974513,4,5.11
powerlaw,100.0,4,ef,,0,0.019801980198019802,3000,1.1428571428571428,1.1260012006242346,0.4309465114802476,False,1.9390528202056885,1.6966712176799774,0.454935,,0.0,4,5.67
powerlaw,100.0,4,ef,,1,0.019801980198019802,3000,1.1428571428571428,1.1260012006242346,0.4309465114802476,False,1.9390528202056885,1.6966712176799774,0.454935,,0.0,4,6.17
powerlaw,100.0,4,ef,,2,0.019801980198019802,3000,1.1428571428571428,1.1260012006242346,0.4309465114802476,False,1.9390528202056885,1.6966712176799774,0.454935,,0.0,4,6.45
bulk_outlier,100.0,16,rtn,,0,0.019801980198019802,3000,0.00024414807580797754,5.037581103358835e-06,5.037581103358835e-06,True,0.007242441177368164,29.66413375735283,1.0,0,0.0,4,4.67
bulk_outlier,100.0,16,rtn,,1,0.019801980198019802,3000,0.00024414807580797754,5.037581103358835e-06,5.037581103358835e-06,True,0.007242441177368164,29.66413375735283,1.0,0,0.0,4,4.59
bulk_outlier,100.0,16,rtn,,2,0.019801980198019802,3000,0.00024414807580797754,5.037581103358835e-06,5.037581103358835e-06,True,0.007242441177368164,29.66413375735283,1.0,0,0.0,4,4.55
bulk_outlier,100.0,16,sr,,0,0.019801980198019802,3000,0.00024414807580797754,6.115366028779701e-08,2.4562050896839488e-08,True,0.0009958446025848389,4.078855011612177,0.9561700000000001,,0.0,4,5.08
bulk_outlier,100.0,16,sr,,1,0.019801980198019802,3000,0.00024414807580797754,6.988176501846385e-08,2.359736370822135e-08,True,0.001202702522277832,4.926119193434715,0.9342900000000001,,0.0,4,5.36
bulk_outlier,100.0,16,sr,,2,0.019801980198019802,3000,0.00024414807580797754,6.805856985242174e-08,2.406684744864163e-08,True,0.0013485252857208252,5.523391004651785,0.9050449999999999,,0.0,4,4.98
bulk_outlier,100.0,16,ef,,0,0.019801980198019802,3000,0.00024414807580797754,1.695330885930201e-07,4.161645656543977e-08,True,0.00023448467254638672,0.9604199081659317,0.36316000000000004,,0.0,4,5.61
bulk_outlier,100.0,16,ef,,1,0.019801980198019802,3000,0.00024414807580797754,1.695330885930201e-07,4.161645656543977e-08,True,0.00023448467254638672,0.9604199081659317,0.36316000000000004,,0.0,4,5.49
bulk_outlier,100.0,16,ef,,2,0.019801980198019802,3000,0.00024414807580797754,1.695330885930201e-07,4.161645656543977e-08,True,0.00023448467254638672,0.9604199081659317,0.36316000000000004,,0.0,4,5.58
